"ZZOfoYear_ID[ZZOfoYear]","Value","Name","ZZMigrationCode","ZZOfoLevelType","IsSummary"
2022,"2021-214102",Industrial Engineering Technologist,191,,N
2022,"2021-214103",Production Engineer,192,,N
2022,"2021-214104",Production Engineering Technologist,193,,N
2022,"2021-214105",Energy Efficiency Manager,194,,N
2022,"2021-214201",Civil Engineer,195,,N
2022,"2021-214202",Civil Engineering Technologist,196,,N
2022,"2021-214301",Environmental Engineer,197,,N
2022,"2021-214302",Environmental Impact and Restoration Analyst,198,,N
2022,"2021-214401",Mechanical Engineer,199,,N
2022,"2021-214402",Mechanical Engineering Technologist,200,,N
2022,"2021-214403",Aeronautical Engineer,201,,N
2022,"2021-214404",Aeronautical Engineering Technologist,202,,N
2022,"2021-214405",Naval Architect,203,,N
2022,"2021-214406",Marine Engineering Technologist,204,,N
2022,"2021-214407",Defence Industry Armament Engineer,205,,N
2022,"2021-214408",Defence Industry Armament Engineering Technologist,206,,N
2022,"2021-214501",Chemical Engineer,207,,N
2022,"2021-214502",Chemical Engineering Technologist,208,,N
2022,"2021-214503",Explosives and Dangerous Goods Inspector,209,,N
2022,"2021-214601",Mining Engineer ,210,,N
2022,"2021-214602",Mining Engineering Technologist,211,,N
2022,"2021-214603",Metallurgical Engineer,212,,N
2022,"2021-214604",Metallurgical Engineering Technologist,213,,N
2022,"2021-214605",Metallurgist,214,,N
2022,"2021-214607",Petroleum Engineer,215,,N
2022,"2021-214901",Biomedical Engineer,216,,N
2022,"2021-214902",Explosive Ordnance Engineer,217,,N
2022,"2021-214903",Marine Salvage Engineer,218,,N
2022,"2021-214904",Quantity Surveyor,219,,N
2022,"2021-214905",Agricultural Engineer,220,,N
2022,"2021-214906",Agricultural Engineering Technologist,221,,N
2022,"2021-214907",Materials Engineer,222,,N
2022,"2021-214908",Materials Engineering Technologist,223,,N
2022,"2021-214909",Microsystems Engineers,224,,N
2022,"2021-215101",Electrical Engineer,225,,N
2022,"2021-215102",Electrical Engineering Technologist,226,,N
2022,"2021-215103",Energy Engineer,227,,N
2022,"2021-215104",Energy Engineering Technologist,228,,N
2022,"2021-215201",Electronics Engineer,229,,N
2022,"2021-215202",Electronics Engineering Technologist,230,,N
2022,"2021-215301",Telecommunications Engineer,231,,N
2022,"2021-215302",Telecommunications Engineering Technologist,232,,N
2022,"2021-215303",Telecommunications Network Engineer,233,,N
2022,"2021-215304",Telecommunications Field Engineer,234,,N
2022,"2021-216101",Architect,235,,N
2022,"2021-216201",Landscape Architect,236,,N
2022,"2021-216301",Fashion Designer,237,,N
2022,"2021-216302",Industrial Designer,238,,N
2022,"2021-216303",Jewellery Designer,239,,N
2022,"2021-216304",Footwear Designer,240,,N
2022,"2021-216401",Urban and Regional Planner,241,,N
2022,"2021-216402",Transport Analyst,242,,N
2022,"2021-216403",Marine Spatial Planner,243,,N
2022,"2021-216501",Cartographer,244,,N
2022,"2021-216502",Surveyor,245,,N
2022,"2021-216601",Digital Artist,246,,N
2022,"2021-216602",Illustrator,247,,N
2022,"2021-216603",Multimedia Designer,248,,N
2022,"2021-216604",Web Designer,249,,N
2022,"2021-221101",General Medical Practitioner,250,,N
2022,"2021-221102",Resident Medical Officer,251,,N
2022,"2021-221103",Public Health Physician,252,,N
2022,"2021-221201",Anaesthetist,253,,N
2022,"2021-221202",Cardiologist,254,,N
2022,"2021-221203",Emergency Medicine Specialist,255,,N
2022,"2021-221204",Obstetrician and Gynaecologist,256,,N
2022,"2021-221205",Ophthalmologist,257,,N
