"AD_Org_ID[Name]","ZZSAQAQualificationCode","ZZSAQAQualificationTitle","ZZNqfLevel","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZQualityAssuranceBody","ZZQualificationType","ZZReplacementQualification_ID[ZZSAQAQualificationCode]","ZZNewRegistrationStartDate","ZZNewRegistrationEndDate","ZZNewLastEnrolmentDate","ZZNewLastAchievementDate","ZZIsReplacement","ZZIsReregistered","ZZMinimumElectiveCredits","IsActive","ZZMigrationCode/K","ZZMigrateValues"
*,"13716",National Certificate Professional Driving,"3",120,2003-12-03 00:00:00.000,2006-12-03 00:00:00.000,2007-12-03 00:00:00.000,1900-01-01 00:00:00.000,"629",Non Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,30,
*,"22671",National Certificate in Construction Masonry,"3",120,2006-08-01 00:00:00.000,2009-08-01 00:00:00.000,2010-08-01 00:00:00.000,1900-01-01 00:00:00.000,,Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,31,
*,"21853",National Certificate: Construction Plumbing,"3",159,2006-08-01 00:00:00.000,2009-08-01 00:00:00.000,2010-08-01 00:00:00.000,1900-01-01 00:00:00.000,,Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,32,
*,"22670",National Certificate: Construction Carpentry,"3",120,2006-08-01 00:00:00.000,2009-08-01 00:00:00.000,2010-08-01 00:00:00.000,1900-01-01 00:00:00.000,,Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,33,
*,"24273",National Certificate: Community House Building,"2",124,2006-08-01 00:00:00.000,2009-08-01 00:00:00.000,2010-08-01 00:00:00.000,1900-01-01 00:00:00.000,,Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,34,
*,"22490",National Certificate General Security Practice,"3",124,2005-11-01 00:00:00.000,2008-11-01 00:00:00.000,2009-11-01 00:00:00.000,1900-01-01 00:00:00.000,,Non Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,35,
*,"21854",Further Education and Training Certificate in Use of Firearms,"4",155,2005-11-01 00:00:00.000,2008-11-01 00:00:00.000,2009-11-01 00:00:00.000,1900-01-01 00:00:00.000,,Non Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,36,
*,"13739","Further Education and Training Certificate in Occupation-directed Education, Training and Developmen","4",126,2000-10-11 00:00:00.000,2003-10-11 00:00:00.000,2004-10-11 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,37,
*,"15541",National Certificate in Abet Practice,"5",120,2007-12-07 00:00:00.000,2010-12-07 00:00:00.000,2011-12-07 00:00:00.000,1900-01-01 00:00:00.000,,Non Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,38,
*,"12037",National Certificate in Education: Training and Development,"2",128,2006-01-07 00:00:00.000,2009-01-07 00:00:00.000,2010-01-07 00:00:00.000,1900-01-01 00:00:00.000,,Non Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,39,
*,"20838",Further Education and Training Certificate in   ABET Practice,"4",120,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,,Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,40,
*,"49091",National Certificate in Furniture Making Wood,"2",125,2007-10-30 00:00:00.000,2010-10-30 00:00:00.000,2011-10-30 00:00:00.000,1900-01-01 00:00:00.000,,Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,41,
*,"49105",National Certificate Furniture Making Wood,"3",122,2007-10-30 00:00:00.000,2010-10-30 00:00:00.000,2011-10-30 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,42,
*,"49092",Further Education and Training Certificate in Furniture Making Specialism,"4",155,2007-10-30 00:00:00.000,2010-10-30 00:00:00.000,2011-10-30 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,43,
*,"23255",National Certificate Mechanical Engineering Fitting and Machining,"3",174,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,,Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,N,44,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1102
*,"49046",National Certificate in Lump Ore Beneficiation (L3),"3",120,2007-10-30 00:00:00.000,2010-10-30 00:00:00.000,2011-10-30 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,45,
