"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZSkillsProgrammeCode","ZZSkillsProgrammeTitle","ZZCredits","Registrationstartdate","Registrationenddate","ZZMinimumElectiveCredits","ZZIsOHS","ZZMigrateValues"
*,127,Y,"49014",National Certificate in  Rockbreaking for Underground Hard Rock (version 2),130,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,46,N,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:91;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:2
*,128,Y,"49013",National Certificate Mining Operations Underground Hard Rock ,140,2007-04-03 00:00:00.000,2010-04-03 00:00:00.000,60,N,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZQualification:ZZQualification_ID:93;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:2
*,129,Y,"58760",National Certificate: Rock Breaking Underground Hard Rock (Version 3),126,2007-01-01 00:00:00.000,2015-06-30 00:00:00.000,44,N,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:73;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1256;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:2
*,130,Y,"21842",National Certificate: Surface Mining Rockbreaking ,147,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,20,N,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZQualification:ZZQualification_ID:15;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:2
*,131,Y,"58739",National Certificate in Mining Operations for Underground Hard Rock (version3),130,2007-01-01 00:00:00.000,2015-06-30 00:00:00.000,30,N,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZQualification:ZZQualification_ID:72;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1256;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:2
*,132,Y,"23654",National Certificate in Generic Management,120,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,120,N,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:57;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:2
*,133,Y,MQA/SP/0008/(B)/05,"Skills Programme: The installation, maintenance and removal of support in underground coal mining operations - Roof bolter Machine Support",63,2005-10-30 00:00:00.000,2008-10-30 00:00:00.000,30,N,ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,134,Y,MQA/SP/0008(A)/05,"Skills Programme: The installation, maintenance and removal of support in underground coal mining operations - Timber Support",58,2005-10-30 00:00:00.000,2008-10-30 00:00:00.000,30,N,ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,135,Y,"21841",National Certificate in Winding Engine Driving,127,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,20,N,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:7;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1396;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:2
*,136,Y,MQA/SP/0008/05,"Skills Programme: Competent Person B: To install, maintain and remove any support in Underground Coal Mining Operations - Compressed Air / Hydraulic Support V3",18,2018-07-01 00:00:00.000,2025-06-30 23:59:59.000,3,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1256;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
