"AD_Org_ID[Name]","ZZQctoLearnership_ID[ZZLearnershipCode]","ZZQCTOModule_ID[ZZModuleCode]","ZZModuleType","IsActive","ZZMigrationCode/K",_LOG_
*,"32Q320006223604","671101000-WM-01",Core,Y,62,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320006223604","671101000-WM-02",Core,Y,63,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320006223604","671101000-WM-03",Core,Y,64,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320006223604","671101000-WM-04",Core,Y,65,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320006223604","671101000-WM-05",Core,Y,66,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-KM-01",Core,Y,67,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-KM-02",Core,Y,68,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-KM-03",Core,Y,69,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-KM-04",Core,Y,70,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-KM-05",Core,Y,71,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-KM-06",Core,Y,72,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-KM-07",Core,Y,73,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-KM-08",Core,Y,74,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-KM-09",Core,Y,75,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-KM-10",Core,Y,76,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-KM-11",Core,Y,77,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-PM-01",Core,Y,78,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-PM-02",Core,Y,79,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-PM-03",Core,Y,80,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-PM-04",Core,Y,81,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-PM-05",Core,Y,82,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-PM-06",Core,Y,83,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-PM-07",Core,Y,84,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-PM-08",Core,Y,85,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-PM-09",Core,Y,86,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320014336974","671202000-PM-10",Core,Y,87,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
