"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZMigrateValues"
*,52,Y,ZZUnitStandard:ZZUnitStandard_ID:350;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,53,Y,ZZUnitStandard:ZZUnitStandard_ID:351;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,54,Y,ZZUnitStandard:ZZUnitStandard_ID:352;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,55,Y,ZZUnitStandard:ZZUnitStandard_ID:353;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,56,Y,ZZUnitStandard:ZZUnitStandard_ID:354;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,57,Y,ZZUnitStandard:ZZUnitStandard_ID:355;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,58,Y,ZZUnitStandard:ZZUnitStandard_ID:569;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,59,Y,ZZUnitStandard:ZZUnitStandard_ID:587;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,60,Y,ZZUnitStandard:ZZUnitStandard_ID:588;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,61,Y,ZZUnitStandard:ZZUnitStandard_ID:589;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,62,Y,ZZUnitStandard:ZZUnitStandard_ID:590;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,63,Y,ZZUnitStandard:ZZUnitStandard_ID:591;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,64,Y,ZZUnitStandard:ZZUnitStandard_ID:593;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,65,Y,ZZUnitStandard:ZZUnitStandard_ID:594;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,66,Y,ZZUnitStandard:ZZUnitStandard_ID:596;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,67,Y,ZZUnitStandard:ZZUnitStandard_ID:598;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,68,Y,ZZUnitStandard:ZZUnitStandard_ID:599;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,69,Y,ZZUnitStandard:ZZUnitStandard_ID:602;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,70,Y,ZZUnitStandard:ZZUnitStandard_ID:658;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,71,Y,ZZUnitStandard:ZZUnitStandard_ID:822;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,72,Y,ZZUnitStandard:ZZUnitStandard_ID:829;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,73,Y,ZZUnitStandard:ZZUnitStandard_ID:985;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,74,Y,ZZUnitStandard:ZZUnitStandard_ID:1165;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:2
*,75,Y,ZZUnitStandard:ZZUnitStandard_ID:1166;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:2
*,76,Y,ZZUnitStandard:ZZUnitStandard_ID:1173;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:2
*,77,Y,ZZUnitStandard:ZZUnitStandard_ID:1176;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:2
*,78,Y,ZZUnitStandard:ZZUnitStandard_ID:1188;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:2
*,79,Y,ZZUnitStandard:ZZUnitStandard_ID:1190;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:2
*,80,Y,ZZUnitStandard:ZZUnitStandard_ID:1196;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:2
