"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZGrantName","ZZGrantDescription","ZZGrantPercentage","ZZPayable","ZZMinimumAmount","ZZMigrateValues"
*,193,Y,ARTISAN AIDES,ARTA,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:22;C_Year:C_Year_ID:18
*,194,Y,ABET Module Based,ABTM,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:23;C_Year:C_Year_ID:18
*,195,Y,Jewellery Beneficiation Learnership,MBL,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:26;C_Year:C_Year_ID:18
*,196,Y,Jewellery Beneficiation Skills Programs,MBSA,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:27;C_Year:C_Year_ID:18
*,197,Y,RPL Learnerships,RPL,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:28;C_Year:C_Year_ID:18
*,198,Y,GETC NQF1 5827,ABTG,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:29;C_Year:C_Year_ID:18
*,199,Y,FLC,FLC,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:31;C_Year:C_Year_ID:18
*,200,Y,NAC,NAC,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:32;C_Year:C_Year_ID:18
*,201,Y,NOC,NOC,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:33;C_Year:C_Year_ID:18
*,202,Y,Vacation Work,VAC,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:34;C_Year:C_Year_ID:18
*,203,Y,Practical Training (1 & 2),PTL,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:35;C_Year:C_Year_ID:18
*,204,Y,Practical Training 3,PTL3,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:36;C_Year:C_Year_ID:18
*,205,Y,MANDATORY GRANTS,MAN,20.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:1;C_Year:C_Year_ID:19
*,206,Y,LEARNERSHIPS,"",100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:2;C_Year:C_Year_ID:19
*,207,Y,ABET,"",100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:4;C_Year:C_Year_ID:19
*,208,Y,GDP NSF,NSF,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:5;C_Year:C_Year_ID:19
*,209,Y,GDP 1,GDP1,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:6;C_Year:C_Year_ID:19
*,210,Y,PRACTICAL TRAINING,"",100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:7;C_Year:C_Year_ID:19
*,211,Y,MODERATOR ,MOD,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:8;C_Year:C_Year_ID:19
*,212,Y,ASSESSOR ,ASS,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:9;C_Year:C_Year_ID:19
*,213,Y,Artisan Grant,APP,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:10;C_Year:C_Year_ID:19
*,214,Y,PRACTICAL TRAINING 02,"",100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:11;C_Year:C_Year_ID:19
*,215,Y,GDP 2,GDP 2,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:13;C_Year:C_Year_ID:19
*,216,Y,LEARNERSHIPS NSF 2,NSL2,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:15;C_Year:C_Year_ID:19
*,217,Y,Skills Programme SLA Grant,PSLA,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:16;C_Year:C_Year_ID:19
*,218,Y,DISABLITY,DLRN,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:17;C_Year:C_Year_ID:19
*,219,Y,OHS PROGRAMME,OHS,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:18;C_Year:C_Year_ID:19
*,220,Y,UIF LEARNERSHIPS,UIF,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:19;C_Year:C_Year_ID:19
*,221,Y,EMPLOYED ARTISAN,ART,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:20;C_Year:C_Year_ID:19
*,222,Y,UNEMPLOYED ARTISAN,UART,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:21;C_Year:C_Year_ID:19
*,223,Y,ARTISAN AIDES,ARTA,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:22;C_Year:C_Year_ID:19
*,224,Y,ABET Module Based,ABTM,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:23;C_Year:C_Year_ID:19
*,225,Y,Jewellery Beneficiation Learnership,MBL,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:26;C_Year:C_Year_ID:19
*,226,Y,Jewellery Beneficiation Skills Programs,MBSA,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:27;C_Year:C_Year_ID:19
*,227,Y,RPL Learnerships,RPL,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:28;C_Year:C_Year_ID:19
*,228,Y,GETC NQF1 5827,ABTG,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:29;C_Year:C_Year_ID:19
*,229,Y,FLC,FLC,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:31;C_Year:C_Year_ID:19
*,230,Y,NAC,NAC,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:32;C_Year:C_Year_ID:19
*,231,Y,NOC,NOC,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:33;C_Year:C_Year_ID:19
*,232,Y,Vacation Work,VAC,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:34;C_Year:C_Year_ID:19
*,233,Y,Practical Training (1 & 2),PTL,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:35;C_Year:C_Year_ID:19
*,234,Y,Practical Training 3,PTL3,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:36;C_Year:C_Year_ID:19
