AD_Org_ID[Name],ZZLearnershipTitle,ZZLearnershipCode,ZZLearnershipType,ZZQualification_ID[ZZSaqaQualificationCode],ZZNqfLevel,ZZCredits,ZZQualityAssuranceBody,Registrationstartdate,Registrationenddate,ZZMinimumElectiveCredits,IsActive,ZZMigrationCode/K,ZZMigrateValues
*,National Certificate: Information Technology: Systems Support,12Q120014001205,Non MQA learnership,48573,5,147,629,2024-07-01 00:00:00.000,2026-06-30 00:00:00.000,147,N,312,
*,"National Certificate: Occupationally Directed Education, Training and Development Practices",07Q070031361456,Non MQA learnership,50331,6,145,629,2024-10-16 00:00:00.000,2026-10-16 00:00:00.000,145,N,313,
*,National Certificate: Interactive Media,15Q150039231305,Non MQA learnership,49121,5,130,585,2024-06-30 00:00:00.000,2026-06-30 00:00:00.000,130,N,314,
*,National Certificate: Business Advising Operations,23Q230116161386,Non MQA learnership,48967,6,138,585,2024-10-16 00:00:00.000,2026-10-16 00:00:00.000,138,N,315,
*,Further Education and Training Certificate: Early Childhood Development,07Q070030261404,Non MQA learnership,58761,4,140,585,2024-07-30 00:00:00.000,2026-10-16 00:00:00.000,140,N,316,
*,National Certificate: Community Development,14Q140018271204,Non MQA learnership,66749,3,120,629,2024-07-01 00:00:00.000,2026-06-30 00:00:00.000,120,N,317,
*,National Diploma: Early Childhood Development,07Q070017212405,Non MQA learnership,23118,5,240,629,2024-07-01 00:00:00.000,2026-10-16 00:00:00.000,240,N,318,
*,General Education and Training Certificate: Poultry Production,30Q300004312241,Non MQA learnership,49580,1,134,585,2024-10-16 00:00:00.000,2026-10-16 00:00:00.000,134,N,319,
*,National Certificate: Mixed Farming Systems,20Q200016461202,Non MQA learnership,48977,2,120,585,2024-10-16 00:00:00.000,2026-10-16 00:00:00.000,120,N,320,
*,Occupational Certificate: Project Manager,23Q230065282405,Non MQA learnership,101869,5,240,585,2018-07-01 00:00:00.000,2025-12-30 00:00:00.000,240,N,321,
*,Further Education and Training Certificate: Information Technology: Technical Support,12Q120035301634,Non MQA learnership,78964,4,163,585,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,163,N,322,
*,National Certificate: Contact Centre and Business Process Outsourcing Support,23Q230087261243,Non MQA learnership,93997,3,124,629,2021-07-01 00:00:00.000,2025-07-30 00:00:00.000,124,N,323,
*,National Certificate: Information Technology: End User Computing,12Q121002041303,Non MQA learnership,61591,3,130,585,2021-07-01 00:00:00.000,2027-06-30 00:00:00.000,130,N,324,
*,4IR LEARNERSHIP,4IR,Non MQA learnership,,6,120,585,2024-11-27 00:00:00.000,2025-11-27 00:00:00.000,0,N,325,
*,National Certificate: New Venture Creation,23Q230065381382,Non MQA learnership,49648,2,138,585,2026-06-30 00:00:00.000,2029-07-01 00:00:00.000,138,N,326,
*,National Certificate: Environmental Management,07Q070026241215,Non MQA learnership,66789,5,134,585,2024-12-04 00:00:00.000,2026-06-30 00:00:00.000,134,N,327,
*,National Certificate: Hygiene and Cleaning Supervision,23Q230045351203,Non MQA learnership,20175,3,120,585,2018-07-01 00:00:00.000,2026-06-30 00:00:00.000,120,N,328,
*,Occupational Certificate: Internet-of-Things Developer,32Q320184201414,Non MQA learnership,119262,4,141,585,2022-06-21 00:00:00.000,2025-12-31 00:00:00.000,141,N,329,
*,QAtest,16Q2025030,Standard Qualification,202503,5,120,585,2025-01-01 00:00:00.000,2027-12-31 00:00:00.000,10,N,330,
*,Occupational Certificate: Data Science Practitioner,32Q320170251855,Non MQA learnership,118708,5,185,585,2022-02-02 00:00:00.000,2025-12-31 00:00:00.000,185,N,331,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:2163
*,Occupational Certificate: Cloud Administrator,118699,Non MQA learnership,118699,4,149,585,2022-02-03 00:00:00.000,2025-12-31 00:00:00.000,149,N,332,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:485
*,National Certificate: Specialist Hygiene and Cleaning Services,23Q230044381202,Non MQA learnership,36233,2,120,585,2018-07-01 00:00:00.000,2026-06-30 00:00:00.000,120,N,333,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:2159
*,AI Software Developer,32Q320159262095,Non MQA learnership,118792,5,209,585,2022-02-03 00:00:00.000,2026-12-31 00:00:00.000,209,N,334,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:2415
