"AD_Org_ID[Name]","ZZQctoSkillsProgramme_ID[ZZSkillsProgrammeCode]","ZZQCTOModule_ID[ZZModuleCode]","ZZModuleType","IsActive","ZZMigrationCode/K",_LOG_
*,SP-221120,"312102-000-00-KM-01",Core,Y,38,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221120,"312102-000-00-KM-02",Core,Y,39,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221120,"312102-000-00-KM-03",Core,Y,40,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221120,"312102-000-00-KM-04",Core,Y,41,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221120,"312102-000-00-KM-05",Core,Y,42,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221120,"312102-000-00-PM-01",Core,Y,43,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221120,"312102-000-00-PM-02",Core,Y,44,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221120,"312102-000-00-PM-03",Core,Y,45,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221120,"312102-000-00-WM-01",Core,Y,46,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221120,"312102-000-00-WM-02",Core,Y,47,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-230343,"900187-000-00-KM-01",Core,Y,48,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-230343,"900173-000-00-KM-01",Core,Y,49,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-230343,"900187-000-00-PM-01",Core,Y,50,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-230343,"900189-000-00-PM-04",Elective,Y,51,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221122,"312102-000-00-KM-01",Core,Y,52,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221122,"312102-000-00-KM-02",Core,Y,53,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221122,"312102-000-00-KM-03",Core,Y,54,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221122,"312102-000-00-KM-04",Core,Y,55,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221122,"312102-000-00-KM-05",Core,Y,56,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221122,"312102-000-00-PM-01",Core,Y,57,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221122,"312102-000-00-PM-02",Core,Y,58,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221122,"312102-000-00-PM-03",Core,Y,59,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221122,"312102-000-00-WM-01",Core,Y,60,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221122,"312102-000-00-WM-02",Core,Y,61,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221125,"312102-000-00-KM-01",Core,Y,62,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221125,"312102-000-00-KM-02",Core,Y,63,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221125,"312102-000-00-KM-03",Core,Y,64,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221125,"312102-000-00-KM-04",Core,Y,65,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221125,"312102-000-00-KM-05",Core,Y,66,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221125,"312102-000-00-PM-01",Core,Y,67,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221125,"312102-000-00-PM-02",Core,Y,68,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221125,"312102-000-00-PM-03",Core,Y,69,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221125,"312102-000-00-WM-01",Core,Y,70,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-221125,"312102-000-00-WM-02",Core,Y,71,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
