AD_Org_ID[Name],ZZMigrationCode/K,IsActive,ZZLearnership_ID[ZZLearnershipCode],ZZUnitStandardType,ZZMigrateValues
*,66,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:596
*,67,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:598
*,68,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:599
*,69,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:602
*,70,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:658
*,71,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:822
*,72,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:829
*,73,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:985
*,74,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:1165
*,75,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:1166
*,76,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:1173
*,77,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:1176
*,78,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:1188
*,79,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:1190
*,80,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:1196
*,81,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:1326
*,82,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:1518
*,83,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:1728
*,84,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:83
*,85,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:84
*,86,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:85
*,87,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:87
*,88,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:88
*,89,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:89
*,90,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:90
*,91,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:91
*,92,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:349
*,93,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:350
*,94,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:351
*,95,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:352
*,96,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:353
*,97,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:354
*,98,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:355
*,99,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:569
*,100,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:587
*,101,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:588
*,102,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:590
*,103,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:591
*,104,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:593
*,105,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:594
*,106,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:596
*,107,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:598
*,108,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:599
*,109,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:600
*,110,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:602
*,111,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:819
*,112,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:820
*,113,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:821
*,114,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:822
*,115,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:829
*,116,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:985
*,117,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:1165
*,118,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:1166
*,119,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:1173
*,120,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:1176
*,121,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:1188
*,122,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:1190
*,123,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:1196
*,124,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:1326
*,125,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:1518
*,126,Y,16Q160082441503,,ZZUnitStandard:ZZUnitStandard_id:1728
*,127,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:149
*,128,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:150
*,129,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:155
*,130,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:160
*,131,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:171
*,132,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:172
*,133,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:173
*,134,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:174
*,135,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:203
*,136,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:204
*,137,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:205
*,138,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:208
*,139,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:245
*,140,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:247
*,141,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:248
*,142,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:250
*,143,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:255
*,144,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:257
*,145,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:259
*,146,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:260
*,147,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:262
*,148,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:264
*,149,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:269
*,150,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:282
*,151,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:289
*,152,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:290
*,153,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:291
*,154,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:307
*,155,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:332
*,156,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:333
*,157,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:334
*,158,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:335
*,159,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:336
*,160,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:337
*,161,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:338
*,162,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:343
*,163,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:344
*,164,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:345
*,165,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:346
*,166,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:348
*,167,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:356
*,168,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:357
*,169,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:360
*,170,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:361
*,171,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:362
*,172,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:363
*,173,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:364
*,174,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:365
*,175,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:367
*,176,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:368
*,177,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:369
*,178,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:370
*,179,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:371
*,180,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:372
*,181,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:373
*,182,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:374
*,183,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:576
*,184,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:635
*,185,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:637
*,186,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:654
*,187,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:702
*,188,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:710
*,189,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:711
*,190,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:770
*,191,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:930
*,192,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:980
*,193,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:981
*,194,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:1080
*,195,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:1095
*,196,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:1161
*,197,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:1162
*,198,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:1163
*,199,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:1184
*,200,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:1185
*,201,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:1186
*,202,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:1191
*,203,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:1194
*,204,Y,16Q16004951732,,ZZUnitStandard:ZZUnitStandard_id:2025
*,205,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:919
*,206,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:930
*,207,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:1188
*,208,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:1190
*,209,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:1196
*,210,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:1466
*,211,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:1502
*,212,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:1518
*,213,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:2201
*,214,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:2202
*,215,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:2218
*,216,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:2221
*,217,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:3411
*,218,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:3417
*,219,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:3418
*,220,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:3419
*,221,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:3426
*,222,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:3438
*,223,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:3442
*,224,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:3551
*,225,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:3552
*,226,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:3553
*,227,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:3554
*,228,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:3555
*,229,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:3556
*,230,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:3557
*,231,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:3558
*,232,Y,16Q160007351763,,ZZUnitStandard:ZZUnitStandard_id:3568
*,233,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:4
*,234,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:6
*,235,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:7
*,236,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:8
*,237,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:475
*,238,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:484
*,239,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:485
*,240,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:489
*,241,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:931
*,242,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:934
*,243,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:942
*,244,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:943
*,245,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:952
*,246,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:1164
*,247,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:1165
*,248,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:1167
*,249,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:1168
*,250,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:1169
*,251,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:1172
*,252,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:1176
*,253,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:1177
*,254,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:1189
*,255,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:1197
*,256,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:1198
*,257,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:1213
*,258,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:1216
*,259,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:1217
*,260,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:1337
*,261,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:1643
*,262,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:1946
*,263,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:1947
*,264,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:1948
*,265,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:2047
*,266,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:2191
*,267,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:2192
*,268,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:2193
*,269,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:2194
*,270,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:2195
*,271,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:2196
*,272,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:2197
*,273,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:2198
*,274,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:2199
*,275,Y,16Q160069441484,,ZZUnitStandard:ZZUnitStandard_id:2200
*,276,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:219
*,277,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:222
*,278,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:224
*,279,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:229
*,280,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:231
*,281,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:1189
*,282,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:1197
*,283,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:1198
*,284,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:1338
*,285,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:1803
*,286,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:2187
*,287,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:2201
*,288,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:2202
*,289,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:2204
*,290,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:2205
*,291,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:2206
*,292,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:2207
*,293,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:2208
*,294,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:2209
*,295,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:2214
*,296,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:2215
*,297,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:2217
*,298,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:2218
*,299,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:2219
*,300,Y,16Q160075261594,,ZZUnitStandard:ZZUnitStandard_id:2406
*,301,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:136
*,302,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:137
*,303,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:138
*,304,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:139
*,305,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:140
*,306,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:141
*,307,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:142
*,308,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:143
*,309,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:144
*,310,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:494
*,311,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:496
*,312,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:497
*,313,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:499
*,314,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:646
*,315,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:647
*,316,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:1189
*,317,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:1191
*,318,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:1197
*,319,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:1312
*,320,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:1313
*,321,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:1314
*,322,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:2013
*,323,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:2014
*,324,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:2201
*,325,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:2202
*,326,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:2214
*,327,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:2215
*,328,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:2217
*,329,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:2218
*,330,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:2221
*,331,Y,16Q160079311464,,ZZUnitStandard:ZZUnitStandard_id:2406
*,332,Y,16Q160078291504,,ZZUnitStandard:ZZUnitStandard_id:136
*,333,Y,16Q160078291504,,ZZUnitStandard:ZZUnitStandard_id:137
*,334,Y,16Q160078291504,,ZZUnitStandard:ZZUnitStandard_id:138
*,335,Y,16Q160078291504,,ZZUnitStandard:ZZUnitStandard_id:139
*,336,Y,16Q160078291504,,ZZUnitStandard:ZZUnitStandard_id:140
*,337,Y,16Q160078291504,,ZZUnitStandard:ZZUnitStandard_id:141
*,338,Y,16Q160078291504,,ZZUnitStandard:ZZUnitStandard_id:142
