"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZModuleCode","ZZModuleTitle","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZMigrateValues"
*,47,Y,"671101000-KM-05",Wire ways and wiring,11,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:17;ref:ZZLkpLearningType:ZZLearningType:2;ref:ZZLkpModuleType:ZZModuleType:1
*,48,Y,"671101000-KM-06",Rotating electrical machinery,13,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:17;ref:ZZLkpLearningType:ZZLearningType:2;ref:ZZLkpModuleType:ZZModuleType:1
*,49,Y,"671101000-KM-07",Electrical supply systems and components,31,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:17;ref:ZZLkpLearningType:ZZLearningType:2;ref:ZZLkpModuleType:ZZModuleType:1
*,50,Y,"671101000-KM-08",Low Voltage protection,5,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:17;ref:ZZLkpLearningType:ZZLearningType:2;ref:ZZLkpModuleType:ZZModuleType:1
*,51,Y,"671101000-KM-9",Fault Finding,3,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:17;ref:ZZLkpLearningType:ZZLearningType:2;ref:ZZLkpModuleType:ZZModuleType:1
*,52,Y,"671101000-PM-01","Use hand, power and measuring tools",22,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:17;ref:ZZLkpLearningType:ZZLearningType:1;ref:ZZLkpModuleType:ZZModuleType:1
*,53,Y,"671101000-PS-02","Plan worksite set up for installing, wiring and connecting electrical equipment and control systems",5,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:17;ref:ZZLkpLearningType:ZZLearningType:1;ref:ZZLkpModuleType:ZZModuleType:1
*,54,Y,"671101000-PS-03","Prepare worksite set up for installing, wiring and connecting electrical equipment and control systems",3,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpLearningType:ZZLearningType:1;ref:ZZLkpModuleType:ZZModuleType:1
*,55,Y,"671101000-PS-04",Install wire-ways,5,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:17;ref:ZZLkpLearningType:ZZLearningType:1;ref:ZZLkpModuleType:ZZModuleType:1
*,56,Y,"671101000-PS-05","Install, wire and connect electrical equipment and control systems",38,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:17;ref:ZZLkpLearningType:ZZLearningType:1;ref:ZZLkpModuleType:ZZModuleType:1
