"AD_Org_ID[Name]","ZZModuleCode","ZZModuleTitle","ZZQualityAssuranceBody","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","IsActive","ZZMigrationCode/K",_LOG_
*,OUT72.2,Fabricate Engineering Components - Plater Welder,,1,2009-04-22 14:03:36.290,2012-04-22 14:03:36.290,2009-04-22 14:03:36.290,1900-01-01 00:00:00.000,Y,3311,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT73,Inspect and Repair Engineering Components - Plater / Welder,,3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,3312,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,RP-3,Examine and repair a chute,,0,2008-11-28 17:10:04.000,2011-11-28 17:10:04.000,2008-11-28 17:10:04.000,1900-01-01 00:00:00.000,Y,3313,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT75.1,Maintain equipment-Metalliferous,,9,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,3314,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT75.2,Maintain equipment-Metalliferous,,5,2009-04-22 14:03:37.323,2012-04-22 14:03:37.323,2009-04-22 14:03:37.323,1900-01-01 00:00:00.000,Y,3315,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT79.1,Fabricate steel structures-Metaliferous,,8,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,3316,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT81.2,Assist with inspection-Metaliferous,,1,2009-04-22 14:03:38.683,2012-04-22 14:03:38.683,2009-04-22 14:03:38.683,1900-01-01 00:00:00.000,Y,3317,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT81.1,Assist with inspection-Metaliferous,,3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,3318,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT82.2,Assist with repairs and fabrication-Metaliferous,,5,2009-04-22 14:03:38.963,2012-04-22 14:03:38.963,2009-04-22 14:03:38.963,1900-01-01 00:00:00.000,Y,3319,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT84.2,Assist with maintenance-Metaliferous,,1,2009-04-22 14:03:39.760,2012-04-22 14:03:39.760,2009-04-22 14:03:39.760,1900-01-01 00:00:00.000,Y,3320,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
