"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZMigrateValues"
*,41,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:9;ZZQCTOModule:ZZQCTOModule_ID:511;ref:ZZLkpModuleType:ZZModuleType:1
*,42,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:9;ZZQCTOModule:ZZQCTOModule_ID:512;ref:ZZLkpModuleType:ZZModuleType:1
*,43,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:9;ZZQCTOModule:ZZQCTOModule_ID:513;ref:ZZLkpModuleType:ZZModuleType:1
*,44,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:9;ZZQCTOModule:ZZQCTOModule_ID:514;ref:ZZLkpModuleType:ZZModuleType:1
*,45,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:9;ZZQCTOModule:ZZQCTOModule_ID:515;ref:ZZLkpModuleType:ZZModuleType:1
*,46,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:9;ZZQCTOModule:ZZQCTOModule_ID:516;ref:ZZLkpModuleType:ZZModuleType:1
*,47,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:9;ZZQCTOModule:ZZQCTOModule_ID:517;ref:ZZLkpModuleType:ZZModuleType:1
*,48,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:10;ZZQCTOModule:ZZQCTOModule_ID:574;ref:ZZLkpModuleType:ZZModuleType:1
*,49,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:10;ZZQCTOModule:ZZQCTOModule_ID:575;ref:ZZLkpModuleType:ZZModuleType:1
*,50,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:10;ZZQCTOModule:ZZQCTOModule_ID:576;ref:ZZLkpModuleType:ZZModuleType:1
*,51,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:10;ZZQCTOModule:ZZQCTOModule_ID:579;ref:ZZLkpModuleType:ZZModuleType:2
*,52,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:11;ZZQCTOModule:ZZQCTOModule_ID:508;ref:ZZLkpModuleType:ZZModuleType:1
*,53,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:11;ZZQCTOModule:ZZQCTOModule_ID:509;ref:ZZLkpModuleType:ZZModuleType:1
*,54,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:11;ZZQCTOModule:ZZQCTOModule_ID:510;ref:ZZLkpModuleType:ZZModuleType:1
*,55,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:11;ZZQCTOModule:ZZQCTOModule_ID:511;ref:ZZLkpModuleType:ZZModuleType:1
*,56,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:11;ZZQCTOModule:ZZQCTOModule_ID:512;ref:ZZLkpModuleType:ZZModuleType:1
*,57,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:11;ZZQCTOModule:ZZQCTOModule_ID:513;ref:ZZLkpModuleType:ZZModuleType:1
*,58,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:11;ZZQCTOModule:ZZQCTOModule_ID:514;ref:ZZLkpModuleType:ZZModuleType:1
*,59,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:11;ZZQCTOModule:ZZQCTOModule_ID:515;ref:ZZLkpModuleType:ZZModuleType:1
*,60,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:11;ZZQCTOModule:ZZQCTOModule_ID:516;ref:ZZLkpModuleType:ZZModuleType:1
*,61,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:11;ZZQCTOModule:ZZQCTOModule_ID:517;ref:ZZLkpModuleType:ZZModuleType:1
*,62,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:12;ZZQCTOModule:ZZQCTOModule_ID:508;ref:ZZLkpModuleType:ZZModuleType:1
*,63,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:12;ZZQCTOModule:ZZQCTOModule_ID:509;ref:ZZLkpModuleType:ZZModuleType:1
*,64,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:12;ZZQCTOModule:ZZQCTOModule_ID:510;ref:ZZLkpModuleType:ZZModuleType:1
*,65,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:12;ZZQCTOModule:ZZQCTOModule_ID:511;ref:ZZLkpModuleType:ZZModuleType:1
*,66,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:12;ZZQCTOModule:ZZQCTOModule_ID:512;ref:ZZLkpModuleType:ZZModuleType:1
*,67,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:12;ZZQCTOModule:ZZQCTOModule_ID:513;ref:ZZLkpModuleType:ZZModuleType:1
*,68,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:12;ZZQCTOModule:ZZQCTOModule_ID:514;ref:ZZLkpModuleType:ZZModuleType:1
*,69,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:12;ZZQCTOModule:ZZQCTOModule_ID:515;ref:ZZLkpModuleType:ZZModuleType:1
*,70,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:12;ZZQCTOModule:ZZQCTOModule_ID:516;ref:ZZLkpModuleType:ZZModuleType:1
*,71,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:12;ZZQCTOModule:ZZQCTOModule_ID:517;ref:ZZLkpModuleType:ZZModuleType:1
