"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZUnitStandardType","ZZMigrateValues",_LOG_
*,35,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:569,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000034] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000034] / "
*,36,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:967,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000035] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000035] / "
*,37,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:968,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000036] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000036] / "
*,38,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:576,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000037] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000037] / "
*,39,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:983,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000038] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000038] / "
*,40,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:665,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000039] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000039] / "
*,41,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:666,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000040] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000040] / "
*,42,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:667,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000041] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000041] / "
*,43,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:764,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000042] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000042] / "
*,44,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:765,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000043] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000043] / "
*,45,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:456,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000044] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000044] / "
*,46,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:462,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000045] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000045] / "
*,47,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:464,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000046] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000046] / "
*,48,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:980,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000047] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000047] / "
*,49,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:930,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000048] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000048] / "
*,50,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:668,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000049] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000049] / "
*,51,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:716,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000050] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000050] / "
*,52,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:981,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000051] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000051] / "
