"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZCode","ZZTitle","ZZCredits","RegistrationStartDate","RegistrationEndDate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZMigrateValues"
*,28,N,"78323",National Certificate: Lamproom Operations,126,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:3
*,29,Y,"96276",Heavy Equipment Mechanic,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,""
*,30,Y,"96283",Goldsmith,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,""
*,31,Y,"96284",Diamond and gemstone setter,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,""
*,32,Y,"96349",Diamond Cutter,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,""
*,33,Y,"97388",Earth Moving Mechanic,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,""
*,34,N,"99999",National Certificate: Test,120,2012-01-24 00:00:00.000,2012-06-25 00:00:00.000,2012-06-26 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:2
*,35,Y,Test567,Test Trade Qualification,15,2023-01-26 00:00:00.000,2024-06-30 00:00:00.000,2027-01-26 00:00:00.000,2028-01-26 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57
*,36,Y,"22858",National Certificate Autotronics,128,2006-11-07 00:00:00.000,2024-06-30 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:2
*,37,Y,"23255",National Certificate Mechanical Engineering Fitting and Machining,174,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1102
*,38,Y,"23254",National Certificate: Mechanical Engineering: Fitting and Machining,179,2007-05-15 00:00:00.000,2024-06-30 00:00:00.000,2016-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4
*,39,Y,"23256",National Certificate: Mechanical Engineering: Fitting and Machining,179,2007-05-15 00:00:00.000,2024-06-30 00:00:00.000,2016-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4
*,40,Y,"671101",Eletrical,130,2024-03-26 00:00:00.000,2025-09-30 00:00:00.000,2024-03-13 00:00:00.000,2025-09-30 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:3173;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57
*,41,Y,"2021-652302",Fitter and Turner,130,2024-03-25 00:00:00.000,2025-09-30 00:00:00.000,2024-03-25 00:00:00.000,2025-09-30 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:3098;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57
