"AD_Reference_ID[Name]/K","value","name","Description/K","EntityType","IsActive"
ZZLkpProviderInternalExternal,Internal,Internal,1,MQA Learner,Y
ZZLkpProviderType,"1 - 1",Assessment - 1,1,MQA Learner,N
ZZLkpProviderType,"2 - 2",Delivery - 2,2,MQA Learner,N
ZZLkpProviderType,"3 - 3",Delivery and Assessment - 3,3,MQA Learner,N
ZZLkpProviderType,"4 - 4",Approved - 4,4,MQA Learner,N
ZZLkpProviderType,"5 - 5",Internship - 5,5,MQA Learner,N
ZZLkpProviderType,"1",Unknown,7,MQA Learner,Y
ZZLkpProviderType,"2",Development Enterprise NGO,8,MQA Learner,Y
ZZLkpProviderType,"3",Education,9,MQA Learner,Y
ZZLkpProviderType,"4",Employer,10,MQA Learner,Y
ZZLkpProviderType,"5",Training,11,MQA Learner,Y
ZZLkpProviderType,"500-12",Education and Training,12,MQA Learner,Y
ZZLkpProviderType,"500-6",Leading Provider,6,MQA Learner,Y
ZZLkpQCTOArtisanType,ARPL,ARPL,2,MQA Learner,Y
ZZLkpQCTOArtisanType,Artisan,Artisan,1,MQA Learner,Y
ZZLkpQCTOLearnershipType,Part Qualification,Part Qualification,2,MQA Learner,Y
ZZLkpQCTOLearnershipType,Qualification,Qualification,1,MQA Learner,Y
ZZLkpQCTOQualificationType,Part Qualification,Part Qualification,2,MQA Learner,Y
ZZLkpQCTOQualificationType,Qualification,Qualification,1,MQA Learner,Y
ZZLkpQualificationEntryRequirements,Met entry requirements,Met entry requirements,1,MQA Learner,Y
ZZLkpQualificationEntryRequirements,Other,Other,4,MQA Learner,Y
ZZLkpQualificationEntryRequirements,RPL -skills experience,RPL -skills experience,2,MQA Learner,Y
ZZLkpQualificationEntryRequirements,RPL with qualification at lower level than required,RPL with qualification at lower level than required,3,MQA Learner,Y
ZZLkpQualificationType,Non Unit Standard Based,Non Unit Standard Based,2,MQA Learner,Y
ZZLkpQualificationType,Unit Standard Based,Unit Standard Based,1,MQA Learner,Y
ZZLkpQualityAssuranceBody,"541",UMALUSI,68,MQA Learner,Y
ZZLkpQualityAssuranceBody,"557",BANKSETA,2,MQA Learner,Y
ZZLkpQualityAssuranceBody,"559",CHIETA,6,MQA Learner,Y
ZZLkpQualityAssuranceBody,"561",CTFL,47,MQA Learner,Y
ZZLkpQualityAssuranceBody,"577",CETA,4,MQA Learner,Y
ZZLkpQualityAssuranceBody,"581",ETDP,7,MQA Learner,Y
ZZLkpQualityAssuranceBody,"583",ESETA,51,MQA Learner,Y
ZZLkpQualityAssuranceBody,"585",FASSET,8,MQA Learner,Y
ZZLkpQualityAssuranceBody,"587",FOODBEV,11,MQA Learner,Y
ZZLkpQualityAssuranceBody,"589",FIETA,10,MQA Learner,Y
ZZLkpQualityAssuranceBody,"591",HWSETA,13,MQA Learner,Y
ZZLkpQualityAssuranceBody,"593",ISETT,55,MQA Learner,Y
ZZLkpQualityAssuranceBody,"595",INSETA,15,MQA Learner,Y
ZZLkpQualityAssuranceBody,"597",LGSETA,17,MQA Learner,Y
ZZLkpQualityAssuranceBody,"599",MERSETA,18,MQA Learner,Y
ZZLkpQualityAssuranceBody,"601",MAPPP-SETA,56,MQA Learner,Y
ZZLkpQualityAssuranceBody,"607",PSETA,59,MQA Learner,Y
ZZLkpQualityAssuranceBody,"611",SERVICES SETA,65,MQA Learner,Y
ZZLkpQualityAssuranceBody,"613",THETA,67,MQA Learner,Y
ZZLkpQualityAssuranceBody,"615",TETA,66,MQA Learner,Y
ZZLkpQualityAssuranceBody,"617",W&RSETA,69,MQA Learner,Y
ZZLkpQualityAssuranceBody,"621",CHE,5,MQA Learner,Y
ZZLkpQualityAssuranceBody,"629",MQA,57,MQA Learner,Y
ZZLkpQualityAssuranceBody,"631",SAPC,63,MQA Learner,Y
ZZLkpQualityAssuranceBody,"637",PAB,58,MQA Learner,Y
ZZLkpQualityAssuranceBody,"639",SABPP,61,MQA Learner,Y
ZZLkpQualityAssuranceBody,"651",SAICA,20,MQA Learner,Y
ZZLkpQualityAssuranceBody,"657",SANC,62,MQA Learner,Y
