"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZUnitStandardType","ZZMigrateValues"
*,78,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:1139
*,79,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:704
*,80,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:2266
*,81,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:6;ZZUnitStandard:ZZUnitStandard_id:830
*,82,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:6;ZZUnitStandard:ZZUnitStandard_id:828
*,83,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:6;ZZUnitStandard:ZZUnitStandard_id:824
*,84,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:6;ZZUnitStandard:ZZUnitStandard_id:825
*,85,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:6;ZZUnitStandard:ZZUnitStandard_id:826
*,86,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:6;ZZUnitStandard:ZZUnitStandard_id:827
*,87,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:983
*,88,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:436
*,89,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:980
*,90,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:930
*,91,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:1075
*,92,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:981
*,93,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:695
*,94,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:919
*,95,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:761
*,96,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:770
*,97,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:996
*,98,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:1116
*,99,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:983
*,100,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:980
*,101,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:930
*,102,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:1075
*,103,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:981
*,104,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:695
*,105,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:919
*,106,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:761
*,107,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:8;ZZUnitStandard:ZZUnitStandard_id:770
