"AD_Org_ID[Name]","ZZQctoLearnership_ID[ZZLearnershipCode]","ZZQCTOModule_ID[ZZModuleCode]","ZZModuleType","IsActive","ZZMigrationCode/K"
*,"16Q160176005754","661301-WM-02",Core,Y,155
*,"16Q160176005754","661301-WM-03",Core,Y,156
*,"16Q160176005754","661301-WM-04",Core,Y,157
*,"16Q160176005754","661301-WM-05",Core,Y,158
*,"16Q160176005754","661301-WM-06",Core,Y,159
*,"16Q160176005754","661301-WM-07",Core,Y,160
*,"16Q160176005754","661301-WM-08",Core,Y,161
*,"16Q160176005754","661301-WM-09",Core,Y,162
*,"16Q118092","661302-000-00-00-KM-01",Core,Y,163
*,"16Q118092","661302-000-00-00-KM-02",Core,Y,164
*,"16Q118092","661302-000-00-00-KM-03",Core,Y,165
*,"16Q118092","661302-000-00-00-PM-01",Core,Y,166
*,"16Q118092","661302-000-00-00-PM-02",Core,Y,167
*,"16Q118092","661302-000-00-00-PM-03",Core,Y,168
*,"16Q118092","661302-000-00-00-PM-04",Core,Y,169
*,"16Q118092","661302-000-00-00-PM-05",Core,Y,170
*,"16Q118092","661302-000-00-00-PM-06",Core,Y,171
*,"16Q118092","661302-000-00-00-PM-07",Core,Y,172
*,"16Q118092","661302-000-00-00-PM-08",Core,Y,173
*,"16Q118092","661302-000-00-00-WM-01",Core,Y,174
*,"16Q118092","661302-000-00-00-WM-02",Core,Y,175
*,"16Q118092","661302-000-00-00-WM-03",Core,Y,176
*,"16Q118092","661302-000-00-00-WM-04",Core,Y,177
*,"16Q118092","661302-000-00-00WM-05",Core,Y,178
*,"16Q118092","661302-000-00-00-WM-06",Core,Y,179
*,"16Q94701","672105000-KM-01",Core,Y,180
*,"16Q94701","672105000-KM-02",Core,Y,181
*,"16Q94701","672105000-KM-03",Core,Y,182
*,"16Q94701","672105000-KM-04",Core,Y,183
*,"16Q94701","672105000-KM-05",Core,Y,184
*,"16Q94701","672105000-KM-06",Core,Y,185
*,"16Q94701","672105000-KM-07",Core,Y,186
*,"16Q94701","672105000-KM-08",Core,Y,187
*,"16Q94701","672105000-KM-09",Core,Y,188
*,"16Q94701","672105000-KM-10",Core,Y,189
*,"16Q94701","672105000-KM-11",Core,Y,190
*,"16Q94701","672105000-KM-12",Core,Y,191
*,"16Q94701","672105000-KM-13",Core,Y,192
*,"16Q94701","672105000-KM-14",Core,Y,193
*,"16Q94701","672105000-KM-15",Core,Y,194
*,"32Q320009225484","652302000-KM-01",Core,Y,228
*,"16Q94701","672105000-KM-16",Core,Y,195
*,"16Q94701","672105000-KM-17",Core,Y,196
*,"32Q320009225484","652302000-KM-02",Core,Y,229
*,"16Q94701","672105000-KM-18",Core,Y,197
*,"16Q94701","672105000-KM-19",Core,Y,198
*,"16Q94701","672105000-PM-01",Core,Y,199
*,"16Q94701","672105000-PM-02",Core,Y,200
*,"32Q320009225484","652302000-KM-03",Core,Y,230
*,"16Q94701","672105000-PM-03",Core,Y,201
*,"16Q94701","672105000-PM-04",Core,Y,202
*,"16Q94701","672105000-PM-05",Core,Y,203
*,"32Q320009225484","652302000-PS-01",Core,Y,231
*,"16Q94701","672105000-PM-06",Core,Y,204
*,"16Q94701","672105000-PM-07",Core,Y,205
*,"32Q320009225484","652302000-PS-02",Core,Y,232
*,"16Q94701","672105000-WM-01",Core,Y,206
*,"32Q320009225484","652302000-PS-03",Core,Y,233
*,"16Q94701","672105000-WM-02",Core,Y,207
*,"16Q94701","672105000-WM-03",Core,Y,208
*,"16Q94701","672105000-WM-04",Core,Y,209
*,"32Q320009225484","652302000-PS-04",Core,Y,234
*,"16Q94701","672105000-WM-05",Core,Y,210
*,"32Q320009225484","652302000-PS-05",Core,Y,235
*,"32Q320009225484","652302000-PS-06",Core,Y,236
*,"32Q320009225484","652302000-PS-07",Core,Y,237
*,"32Q320009225484","652302000-PS-08",Core,Y,238
*,"32Q320009225484","652302000-PS-09",Core,Y,239
*,"32Q320009225484","652302000-PS-10",Core,Y,240
*,"32Q320009225484","652302000-PS-11",Core,Y,241
*,"32Q320009225484","652302000-WM-01",Core,Y,242
*,"32Q320009225484","652302000-WM-02",Core,Y,243
*,"32Q320009225484","652302000-WM-03",Core,Y,244
*,"32Q320009225484","652302000-WM-04",Core,Y,245
*,"32Q320009225484","652302000-WM-05",Core,Y,246
*,"32Q320013174104","653303000-KM-02",Core,Y,212
*,"32Q320009225484","652302000-WM-06",Core,Y,247
*,"32Q320013174104","653303000-PS-01",Core,Y,213
*,"32Q320013174104","653303000-PS-02",Core,Y,214
*,"32Q320009225484","652302000-WM-07",Core,Y,248
*,"32Q320013174104","653303000-PS-03",Core,Y,215
*,"32Q320009225484","652302000-WM-08",Core,Y,249
*,"32Q320013174104","653303000-PS-04",Core,Y,216
*,"32Q320013174104","653303000-PS-05",Core,Y,217
*,"32Q320013174104","653303000-PS-06",Core,Y,218
*,"32Q320013174104","653303000-PS-07",Core,Y,219
*,"32Q320013174104","653303000-PS-08",Core,Y,220
*,"32Q320013174104","653303000-WM-01",Core,Y,221
*,"32Q320013174104","653303000-WM-02",Core,Y,222
*,"32Q320013174104","653303000-WM-03",Core,Y,223
*,"32Q320013174104","653303000-WM-04",Core,Y,224
*,"32Q320013174104","653303000-WM-05",Core,Y,225
*,"32Q320013174104","653303000-WM-06",Core,Y,226
*,"32Q320013174104","653303000-WM-07",Core,Y,227
*,"32Q320013174104","653303000-KM-01",Core,Y,211
*,"16Q94100","651202000-KM-01",Core,Y,250
*,"16Q94100","651202000-KM-02",Core,Y,251
*,"16Q94100","651202000-KM-03",Core,Y,252
*,"16Q94100","651202000-KM-04",Core,Y,253
*,"16Q94100","651202000-KM-05",Core,Y,254
*,"16Q94100","651202000-KM-06",Core,Y,255
*,"16Q94100","651202000-KM-07",Core,Y,256
*,"16Q94100","651202000-KM-08",Core,Y,257
*,"16Q94100","651202000-KM-09",Core,Y,258
*,"16Q94100","651202000-KM-10",Core,Y,259
*,"16Q94100","651202000-KM-11",Core,Y,260
*,"16Q94100","651202000-KM-12",Core,Y,261
*,"16Q94100","651202000-KM-13",Core,Y,262
*,"16Q94100","651202000-KM-14",Core,Y,263
*,"16Q94100","651202000-KM-15",Core,Y,264
*,"16Q94100","651202000-KM-16",Core,Y,265
*,"16Q94100","651202000-PM-01",Core,Y,266
