"AD_Org_ID[Name]","ZZLearnershipTitle","ZZLearnershipCode","ZZLearnershipType","ZZQualification_ID[Value]","ZZNqfLevel","ZZCredits","ZZQualityAssuranceBody","Registrationstartdate","Registrationenddate","ZZMinimumElectiveCredits","IsActive","ZZMigrationCode","ZZMigrateValues"
*,National Certificate Professional Driving Level 3,"26Q260009212053",,"13716","3",140,,2005-04-11 00:00:00.000,2005-04-11 00:00:00.000,0,N,1,
*,NQF 4 National Diploma In Abet Practices,"07Q070004121204",,"20838","4",120,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,N,2,
*,Customer Management,"23Q230017211344",,"20907","4",134,,2005-09-13 00:00:00.000,2005-09-13 00:00:00.000,0,N,3,
*,National Certificate: Mining Operations: Underground Coal: Wall Mining,"16Q160080421273",,"21812","3",127,,2007-11-14 00:00:00.000,2007-11-14 00:00:00.000,0,N,4,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49
*,National Certificate: Mining Operations: Underground Coal: Continuous Mining,"16Q1600746441303",,"21812","3",127,,2002-03-22 00:00:00.000,2002-03-22 00:00:00.000,0,N,5,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49
*,National Certificate: Mining Operations: Underground Coal: Blasting Operations,"16Q160082441503",,"21812","3",149,,2007-11-14 00:00:00.000,2007-11-14 00:00:00.000,0,N,6,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49
*,National Certificate: Engineering Maintenance and Repairing for Underground Coal Mining: Breaking Services,"16Q160058661842",,"21814","2",184,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,N,7,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49
*,National Certificate: Engineering Maintenance and Repairing for Underground Coal Mining: Wall Mining,"16Q160057581672",,"21814","2",167,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,N,8,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49
*,National Certificate: Engineering Maintenance and Repairing for Underground Coal Mining: Continuous Mining,"16Q160056692062",,"21814","2",206,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,N,9,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49
*,National Certificate: Engineering Maintenance and Repairing for Underground Coal Mining: Conventional Mining,"16Q160055702072",,"21814","2",207,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,N,10,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49
*,National Certificate: Engineering Maintenance: Underground Hard Rock (Metalliferous) : Horizontal Transport,"16Q160048501622",,"21815","3",139,,2002-03-22 00:00:00.000,2002-03-22 00:00:00.000,0,N,11,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49
*,National Certificate: Engineering Maintenance: Underground Hard Rock (Metalliferous) : Stoping and Developing,"16Q16004951732",,"21815","3",173,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,N,12,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49
*,National Certificate: Engineering Maintenance: Underground Hard Rock (Metalliferous) :Horizontal Transport Services,"16Q160050611922",,"21815","3",197,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,N,13,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49
*,National Certificate: Winding Engine Driving,"16Q160007351763",,"21841","2",127,,2010-02-20 00:00:00.000,2010-02-20 00:00:00.000,0,N,14,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1396
*,National Certificate: Surface Mining Rockbreaking,"16Q160001411572",,"21842","3",158,,2005-08-29 00:00:00.000,2005-08-29 00:00:00.000,0,N,15,
*,National Certificate: Jewellery Manufacture in a Mass Production Environment,"16Q160043271593",,"21844","3",159,,2003-06-02 00:00:00.000,2003-06-02 00:00:00.000,0,N,16,
*,National Certificate: Diamond Processing Operator: Bottom Sawn,"16Q160045551462",,"21846","2",129,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,N,17,
*,National Certificate: Diamond Processing Operator: Bottom Makeable,"16Q160046551462",,"21846","2",129,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,N,18,
*,National Certificate: Diamond Processing Operator: Top Makeable,"16Q160047601632",,"21846","2",129,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,N,19,
*,National Certificate: Diamond Processing Operator: Top Sawn,"16Q160044551382",,"21846","2",129,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,N,20,
*,Construction Plumber,"05Q050015201593",,"21853","3",146,,2005-04-07 00:00:00.000,2005-04-07 00:00:00.000,0,N,21,
*,General Security Officer's Learnership Level 3,"19Q190005321353",,"22490","3",135,,2005-04-26 00:00:00.000,2005-04-26 00:00:00.000,0,N,22,
*,Construction Carpenter (Formwork),"05Q050031211223",,"22670","3",122,,2005-04-07 00:00:00.000,2005-04-07 00:00:00.000,0,N,23,
*,Construction Mason (Face Brick Laying),"05Q050018181223",,"22671","3",122,,2005-04-07 00:00:00.000,2005-04-07 00:00:00.000,0,N,24,
