"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZLearnershipTitle","ZZLearnershipCode","ZZCredits","Registrationstartdate","Registrationenddate","ZZMinimumElectiveCredits","ZZMigrateValues"
*,180,Y,National Certificate: Mining Technical Support: Sampling,"16Q160118321252",125,2012-12-03 00:00:00.000,2012-12-03 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZQualification:ZZQualification_ID:87;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:814
*,181,Y,National Certificate: Mining Technical Support: Surveying,"16Q160117321252",125,2012-12-03 00:00:00.000,2012-12-03 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZQualification:ZZQualification_ID:87;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:814
*,182,Y,Further Education and Training Certificate: Mining Operations: Underground Coal Mining,"16Q160150301624",160,2012-04-17 00:00:00.000,2012-04-17 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:1;ZZQualification:ZZQualification_ID:136
*,183,Y,National Certificate: Mineral Processing: Uranium,"16Q160108331303",130,2012-04-17 00:00:00.000,2012-04-17 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:121;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1258
*,184,Y,"987","987",120,2011-01-07 00:00:00.000,2010-01-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:15
*,185,Y,Further Education and Training Certificate: Jewellery Manufacturing Operations: Gemstone Setting,"16Q160081261464",150,2012-08-01 00:00:00.000,2012-08-01 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:65;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1272
*,186,Y,National Certificate: Lamproom Operations,"16Q160170321263",126,2014-11-13 00:00:00.000,2014-11-13 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:138
*,187,Y,National Certificate Millwright – Diamond,"16Q160028003394 (V2)",359,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:92;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1167
*,188,Y,National Certificate Plater/Welder - Coal,"16Q160016001333 (V2)",152,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:90;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1070
*,189,Y,National Certificate: Diesel Mechanic: Coal,"16Q160012001623 (V2)",191,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:1;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1105
