"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZModuleType","ZZMigrateValues"
*,93,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:91;ref:ZZLkpModuleType:ZZModuleType:1
*,94,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:92;ref:ZZLkpModuleType:ZZModuleType:1
*,95,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:93;ref:ZZLkpModuleType:ZZModuleType:1
*,96,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:94;ref:ZZLkpModuleType:ZZModuleType:1
*,97,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:95;ref:ZZLkpModuleType:ZZModuleType:1
*,98,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:96;ref:ZZLkpModuleType:ZZModuleType:1
*,99,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:97;ref:ZZLkpModuleType:ZZModuleType:1
*,100,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:10;ZZQCTOModule:ZZQCTOModule_ID:98;ref:ZZLkpModuleType:ZZModuleType:1
*,101,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:10;ZZQCTOModule:ZZQCTOModule_ID:99;ref:ZZLkpModuleType:ZZModuleType:1
*,102,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:10;ZZQCTOModule:ZZQCTOModule_ID:100;ref:ZZLkpModuleType:ZZModuleType:1
*,103,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:10;ZZQCTOModule:ZZQCTOModule_ID:101;ref:ZZLkpModuleType:ZZModuleType:1
*,104,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:10;ZZQCTOModule:ZZQCTOModule_ID:102;ref:ZZLkpModuleType:ZZModuleType:1
*,105,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:10;ZZQCTOModule:ZZQCTOModule_ID:103;ref:ZZLkpModuleType:ZZModuleType:1
*,106,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:10;ZZQCTOModule:ZZQCTOModule_ID:104;ref:ZZLkpModuleType:ZZModuleType:1
*,107,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:10;ZZQCTOModule:ZZQCTOModule_ID:105;ref:ZZLkpModuleType:ZZModuleType:1
*,108,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:10;ZZQCTOModule:ZZQCTOModule_ID:106;ref:ZZLkpModuleType:ZZModuleType:1
*,109,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:10;ZZQCTOModule:ZZQCTOModule_ID:107;ref:ZZLkpModuleType:ZZModuleType:1
*,110,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:10;ZZQCTOModule:ZZQCTOModule_ID:108;ref:ZZLkpModuleType:ZZModuleType:1
*,111,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:10;ZZQCTOModule:ZZQCTOModule_ID:109;ref:ZZLkpModuleType:ZZModuleType:1
*,112,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:10;ZZQCTOModule:ZZQCTOModule_ID:110;ref:ZZLkpModuleType:ZZModuleType:1
*,113,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:10;ZZQCTOModule:ZZQCTOModule_ID:111;ref:ZZLkpModuleType:ZZModuleType:1
*,114,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:10;ZZQCTOModule:ZZQCTOModule_ID:112;ref:ZZLkpModuleType:ZZModuleType:1
