"AD_Org_ID[Name]","ZZModuleCode","ZZModuleTitle","ZZQualityAssuranceBody","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZNqfLevel","ZZLearningType","ZZModuleType","IsActive","ZZMigrationCode/K","ZZMigrateValues"
*,"661301-WM-08",Jewellery repair and planning processes,"629",14,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,160,
*,"661301-WM-09",Specialised jewellery manufacturing techniques and processes,"629",39,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,161,
*,"661302-000-00-00-KM-01",Introduction to Stone Setting,"629",38,2021-03-25 00:00:00.000,2026-03-25 00:00:00.000,2027-03-25 00:00:00.000,2030-03-25 00:00:00.000,"3",Knowledge,Core,Y,162,
*,"661302-000-00-00-KM-02",Diamond and Gemstone Setter Theory,"629",15,2021-03-25 00:00:00.000,2026-03-25 00:00:00.000,2027-03-25 00:00:00.000,2030-03-25 00:00:00.000,"3",Knowledge,Core,Y,163,
*,"661302-000-00-00-KM-03",Advanced Setting,"629",56,2021-03-25 00:00:00.000,2026-03-25 00:00:00.000,2027-03-25 00:00:00.000,2030-03-25 00:00:00.000,"4",Knowledge,Core,Y,164,
*,"661302-000-00-00-PM-01",Conduct Basic Setting Techniques,"629",48,2021-03-25 00:00:00.000,2026-03-25 00:00:00.000,2027-03-25 00:00:00.000,2030-03-25 00:00:00.000,"3",Application,Core,Y,165,
*,"661302-000-00-00-PM-02",Prepare for Stone Setting,"629",40,2021-03-25 00:00:00.000,2026-03-25 00:00:00.000,2027-03-25 00:00:00.000,2030-03-25 00:00:00.000,"3",Application,Core,Y,166,
*,"661302-000-00-00-PM-03",Conduct Basic Setting,"629",10,2021-03-25 00:00:00.000,2026-03-25 00:00:00.000,2027-03-25 00:00:00.000,2030-03-25 00:00:00.000,"3",Application,Core,Y,167,
*,"661302-000-00-00-PM-04",Identify and Examine Gemstones,"629",8,2021-03-25 00:00:00.000,2026-03-25 00:00:00.000,2027-03-25 00:00:00.000,2030-03-25 00:00:00.000,"3",Application,Core,Y,168,
*,"661302-000-00-00-PM-05",Set Stones in a Variety of Jewellery Items,"629",38,2021-03-25 00:00:00.000,2026-03-25 00:00:00.000,2027-03-25 00:00:00.000,2030-03-25 00:00:00.000,"4",Application,Core,Y,169,
*,"661302-000-00-00-PM-06",Set Stones in a Variety of Settings,"629",24,2021-03-25 00:00:00.000,2026-03-25 00:00:00.000,2027-03-25 00:00:00.000,2030-03-25 00:00:00.000,"4",Application,Core,Y,170,
*,"661302-000-00-00-PM-07",Set Stones in Complex Jewellery Using Advanced Setting Techniques,"629",30,2021-03-25 00:00:00.000,2026-03-25 00:00:00.000,2027-03-25 00:00:00.000,2030-03-25 00:00:00.000,"4",Application,Core,Y,171,
*,"661302-000-00-00-PM-08","Remove, Reset & Replace Stones into Jewellery Items","629",10,2021-03-25 00:00:00.000,2026-03-25 00:00:00.000,2027-03-25 00:00:00.000,2030-03-25 00:00:00.000,"4",Application,Core,Y,172,
*,"661302-000-00-00-WM-01",Preparation Processes for Setting,"629",5,2021-03-25 00:00:00.000,2026-03-25 00:00:00.000,2027-03-25 00:00:00.000,2030-03-25 00:00:00.000,"3",Work experience,Core,Y,173,
*,"661302-000-00-00-WM-02",Health and Safety for Stone Setting Workshop Processes and Tools,"629",5,2021-03-25 00:00:00.000,2026-03-25 00:00:00.000,2027-03-25 00:00:00.000,2030-03-25 00:00:00.000,"3",Work experience,Core,Y,174,
*,"661302-000-00-00-WM-03",Stone Setting Processes,"629",25,2021-03-25 00:00:00.000,2026-03-25 00:00:00.000,2027-03-25 00:00:00.000,2030-03-25 00:00:00.000,"3",Work experience,Core,Y,175,
*,"661302-000-00-00-WM-04",Removal and Resetting of Stones and Restoring pf Jewellery Items,"629",25,2021-03-25 00:00:00.000,2026-03-25 00:00:00.000,2027-03-25 00:00:00.000,2030-03-25 00:00:00.000,"4",Work experience,Core,Y,176,
*,"661302-000-00-00WM-05",Specialised and Advanced Setting Processes,"629",148,2021-03-25 00:00:00.000,2026-03-25 00:00:00.000,2027-03-25 00:00:00.000,2030-03-25 00:00:00.000,"4",Work experience,Core,Y,177,
*,"661302-000-00-00-WM-06","Material, Tools Consumables Management Processes","629",5,2021-03-25 00:00:00.000,2026-03-25 00:00:00.000,2027-03-25 00:00:00.000,2030-03-25 00:00:00.000,"4",Work experience,Core,Y,178,
*,"672105000-KM-01",Occupational Health and Safety legislation,"53",6,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,179,
*,"672105000-KM-02",Electricity and Electronics,"53",13,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,180,
*,"672105000-KM-03",Complex electronic components and circuits,"53",20,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"5",Knowledge,Core,Y,181,
*,"672105000-KM-04",Introduction to Instrumentation,"53",3,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,182,
*,"672105000-KM-05",Engineering tools and Test Equipment,"53",10,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,183,
*,"672105000-KM-06",Pressure and pressure measurement,"53",5,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,184,
*,"672105000-KM-07",Flow and flow measurement,"53",5,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,185,
*,"672105000-KM-08",Level and level measurement,"629",5,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,186,
*,"672105000-KM-09",Temperature and temperature measurement,"629",5,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,187,
*,"672105000-KM-10",Final control elements,"53",5,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,188,
*,"672105000-KM-11",Pneumatic system,"53",4,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-03-06 00:00:00.000,"4",Knowledge,Core,Y,189,
*,"672105000-KM-12",Hydraulic System,"53",4,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,190,
*,"672105000-KM-13",Relay logic circuits,"53",8,2018-07-01 00:00:00.000,2023-06-01 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"5",Knowledge,Core,Y,191,
*,"672105000-KM-14",Introduction to Programmable Logic Controllers (PLC),"53",10,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"5",Knowledge,Core,Y,192,
*,"672105000-KM-15",Programmable Instrumentation (SMART),"629",6,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"5",Knowledge,Core,Y,193,
*,"652302000-KM-01",Basic engineering theory,"599",32,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"3",Knowledge,Core,Y,194,
*,"672105000-KM-16",Process Control Loops and Automatic Control,"53",15,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"5",Knowledge,Core,Y,195,
*,"672105000-KM-17",Instrumentation Drawings,"53",3,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"5",Knowledge,Core,Y,196,
*,"652302000-KM-02",Fitting Theory,"599",38,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,197,
*,"672105000-KM-18",Process communication systems,"53",10,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"6",Knowledge,Core,Y,198,
*,"672105000-KM-19",Fault finding on instrumentation equipment and systems,"53",5,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"6",Knowledge,Core,Y,199,
*,"672105000-PM-01","Select, use and care of engineering hand and power tools and test equipment","53",25,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,200,
*,"672105000-PM-02","Analyse, design and construct an electronic circuit","53",10,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"5",Application,Core,Y,201,
*,"652302000-KM-03",Machining Theory,"599",36,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,202,
*,"672105000-PM-03",Calibrate and test instrumentation equipment within specifications,"53",50,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,203,
*,"672105000-PM-04",Install/remove instruments and components within manufacturer's specifications and plant standards,"53",12,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,204,
*,"672105000-PM-05",Compare measured variable values and adjust process loops,"53",25,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2023-06-30 00:00:00.000,2027-06-30 00:00:00.000,"5",Application,Core,Y,205,
*,"652302000-PS-01",Fabricate simple components or work pieces using basic hand skills and hand tools,"599",6,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"2",Application,Core,Y,206,
*,"672105000-PM-06",Carry out fault diagnosis and repair faults on Instruments,"53",20,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"5",Application,Core,Y,207,
*,"672105000-PM-07","Maintain systems, instruments and components","53",20,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,208,
*,"652302000-PS-02",Fabricate components or work pieces using power tools or machinery,"599",6,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"3",Application,Core,Y,209,
*,"672105000-WM-01",Calibration processes and procedures for instrumentation equipment,"53",40,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,210,
*,"652302000-PS-03","Dissemble, clean and inspect mechanical sub-assemblies","599",6,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"3",Application,Core,Y,211,
*,"672105000-WM-02",Processes of removal and installation of instrumentation equipment,"53",15,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,212,
*,"672105000-WM-03",Processes of optimising process control loop and control loops,"53",50,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"5",Work experience,Core,Y,213,
