"AD_Org_ID[Name]","ZZSkillsProgrammeCode","ZZSkillsProgrammeTitle","ZZNqfLevel","ZZCredits","Registrationstartdate","Registrationenddate","ZZQualityAssuranceBody","ZZSkillsProgrammeType","ZZQualification_ID[ZZSaqaQualificationCode]","ZZAETLevel","ZZMinimumElectiveCredits","ZZSkillsProgrammeGrantType","ZZIsOHS","IsActive","ZZMigrationCode/K","ZZMigrateValues"
*,"64849",Further Education and Training Certificate: Automotive Repair and Maintenance,"4",159,2009-02-18 00:00:00.000,2012-02-18 00:00:00.000,,Leads to a Qualification,"78545",,0,,N,Y,250,
*,"63790",National Certificate: Electrical Engineering,"3",133,2009-02-18 00:00:00.000,2012-02-18 00:00:00.000,,Leads to a Qualification,"72071",,0,,N,Y,251,
*,"63889",Further Education and Training Certificate: Electrical Engineering,"4",130,2009-02-18 00:00:00.000,2015-06-30 00:00:00.000,,Leads to a Qualification,"72069",,0,,N,Y,252,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1165
*,"64810",National Certificate: Automotive Repair and Maintenance,"2",125,2009-02-18 00:00:00.000,2015-06-30 00:00:00.000,,Leads to a Qualification,"64810",,0,,N,Y,253,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1098
*,"64809",National Certificate: Automotive Repair and Maintenance,"3",135,2009-02-18 00:00:00.000,2015-06-30 00:00:00.000,,Leads to a Qualification,"64809",,0,,N,Y,254,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1098
*,"64789",National Diploma: Automotive Repair and Maintenance,"5",144,2009-02-18 00:00:00.000,2012-02-18 00:00:00.000,,Leads to a Qualification,"64789",,0,,N,Y,255,
*,"65049",National CertificateL Jewellery manufacturing,"2",134,2009-12-03 00:00:00.000,2015-06-30 00:00:00.000,,Leads to a Qualification,"65049",,0,,N,Y,256,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1259
*,"65209",National Certificate: Jewellery Manufacturing,"3",137,2009-12-03 00:00:00.000,2015-06-30 00:00:00.000,,Leads to a Qualification,"65209",,0,,N,Y,257,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1259
*,"65549",National Certificate: Mining Technical Support,"3",138,2009-12-03 00:00:00.000,2015-06-30 00:00:00.000,,Leads to a Qualification,"65549",,0,,N,Y,258,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:814
*,"59729",National Certificate: Mechanical Handling (Rigging),"2",127,2008-11-06 00:00:00.000,2015-06-30 00:00:00.000,,Leads to a Qualification,"63485",,0,,N,Y,259,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1079
*,"59730",National Certificate: Mechanical Handling (Rigging),"3",121,2008-06-11 00:00:00.000,2015-06-30 00:00:00.000,,Leads to a Qualification,"63490",,0,,N,Y,260,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1079
*,"59731",Further Education and Training Certificate: Mechanical Handling (Rigging),"4",136,2008-11-06 00:00:00.000,2015-06-30 00:00:00.000,,Leads to a Qualification,"63494",,0,,N,Y,261,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1079
*,"62769",National Certificate: Mineral Processing,,130,2008-08-20 00:00:00.000,2015-06-30 00:00:00.000,,Leads to a Qualification,"62769",,0,,N,Y,262,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1258
*,"60110",National Certificate: Engineering,"5",120,2008-08-20 00:00:00.000,2011-08-20 00:00:00.000,,Leads to a Qualification,"60110",,0,,N,Y,263,
*,"64949",National Certificate: Laboratory Practice,"2",120,2009-05-05 00:00:00.000,2015-06-30 00:00:00.000,,Leads to a Qualification,"73310",,0,,N,Y,264,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:102
