"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZMigrateValues"
*,47,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:464;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,48,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:980;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,49,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:930;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,50,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:668;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,51,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:716;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,52,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:981;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,53,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:984;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,54,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:2141;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,55,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:1996;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,56,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:761;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,57,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:1418;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,58,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:120;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,59,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:121;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,60,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:130;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,61,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:131;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,62,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:432;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,63,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:983;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,64,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:1080;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,65,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:1139;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,66,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:433;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,67,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:761;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,68,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:1668;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,69,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:1076;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,70,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:1078;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,71,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:1077;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,72,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:1604;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,73,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:930;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,74,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:1010;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,75,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:1138;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,76,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:1009;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,77,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:981;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,78,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:1139;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,79,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:704;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,80,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:2266;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,81,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:6;ZZUnitStandard:ZZUnitStandard_id:830;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,82,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:6;ZZUnitStandard:ZZUnitStandard_id:828;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,83,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:6;ZZUnitStandard:ZZUnitStandard_id:824;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
