ID,SkillsProgrammeCode,SkillsProgrammeTitle,NQFLevelID,Credits,RegistrationStartDate,RegistrationEndDate,QualityAssuranceBodyID,SkillsProgrammeTypeID,QualificationID,AETLevelID,OFOOccupationID,MinimumElectiveCredits,SkillsProgrammeGrantTypeID,MigrationRecordID,DateCreated,CreatedBy,DateUpdated,UpdatedBy,IsDeleted,SysStartTime,SysEndTime,IsOHS
28,MQA/SP/0041/05,Skills Programme: Gas Testing Operations in Underground Coal Mines,0,42,2005-10-07 00:00:00.000,2008-10-07 00:00:00.000,0,1,0,0,0,0,0,29,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
29,MQA/SP/0005/05,Skills Programme: Competent Person A: To examine and declare a working place safe (Underground Coal Longwall Mining) V2,0,22,2018-07-01 00:00:00.000,2020-09-25 00:00:00.000,0,1,0,0,1256,0,0,30,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
30,MQA/SP/0006/05,Skills Programme: To examine and declare a working place safe for the purpose of regulation 1.1 (Underground Coal Conventional Mining) V2,0,28,2005-10-19 00:00:00.000,2008-10-19 00:00:00.000,0,1,0,0,0,4,0,31,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
31,MQA/SP/0007/05,Skills Programme: Competent Person A: To examine and declare a working place safe (Underground Coal Continuous Mining) V2,0,24,2018-07-01 00:00:00.000,2020-09-25 00:00:00.000,0,1,0,0,1256,0,0,32,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
32,MQA/SP/0011/05,"Skills Programme: Competent Person B: To install, maintain and remove any support unit in Underground Coal Mining Operations - Timber Support V3",0,23,2018-07-01 00:00:00.000,2024-07-30 23:59:59.000,0,1,0,0,1256,3,0,33,2022-12-12 13:31:20.827,1,2024-07-31 15:08:54.133,3551,0,2024-07-31 13:08:54.1301997,9999-12-31 23:59:59.9999999,0
33,MQA/SP/0017/05,"Skills Programme: Competent Person B: To install, maintain and remove any support in Underground Coal Mining Operations - Roofbolter Machine Support  V3",0,18,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,0,1,0,0,1256,3,0,34,2022-12-12 13:31:20.827,1,2023-07-07 21:23:35.993,3553,0,2023-07-07 19:23:35.9954318,9999-12-31 23:59:59.9999999,0
34,MQA/SP/0008(C)/05,"Skills Programme: Competent Person B: To install, maintain and remove any support in Underground Coal Mining Operations - Compressed Air / Hydraulic Support V3",0,17,2018-07-01 00:00:00.000,2024-07-30 23:59:59.000,0,1,0,0,1256,2,0,35,2022-12-12 13:31:20.827,1,2024-07-31 15:08:54.133,3551,0,2024-07-31 13:08:54.1301997,9999-12-31 23:59:59.9999999,0
35,MQA/SP/0044/06,Skills Programme: Conduct Occupational Health and Safety Representative activities in the Mining and Minerals Sector,0,13,2006-06-12 00:00:00.000,2009-06-12 00:00:00.000,0,1,0,0,0,2,0,36,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
36,MQA/SP/0045/06,Skills Programme: Operate a Small-Scale Surface Mine,0,67,2006-07-31 00:00:00.000,2009-12-31 00:00:00.000,0,1,0,0,0,0,0,37,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
37,MQA/SP/0046/06,"Skills Programme: Competent Person B: The Installation, Maintenance and Removal of Support Units in Surface Mines",0,20,2006-09-05 00:00:00.000,2009-09-05 00:00:00.000,0,1,0,0,0,0,0,38,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
