AD_Org_ID[Name],Value,Name,ZZNqfLevel,ZZCredits,Registrationstartdate,Registrationenddate,ZZQualityAssuranceBody,ZZSkillsProgrammeType,ZZQualification_ID[Value],ZZAetLevel,ZZLkpOfoOccupation_ID[Value],ZZMinimumElectiveCredits,IsActive
*,MQA/SP/0053/06,Skills Programme: Slimes Reclamation (Version 1),,15,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,,1,,,2021-711201,2,Y
*,MQA/SP/0054/06,Skills Programme: Solvent Extraction (Version 1),,21,2006-11-06 00:00:00.000,2009-07-08 00:00:00.000,,1,,,,2,Y
*,MQA/SP/0055/06,Skills Programme: Packing Plant Unitising Operations,,35,2006-11-17 00:00:00.000,2009-11-17 00:00:00.000,,1,,,,9,Y
*,MQA/SP/0056/06,Skills Programme: Tanker-Based Bulk Materials Loading,,64,2006-11-17 00:00:00.000,2009-11-17 00:00:00.000,,1,,,,23,Y
*,MQA/SP/0042/07,Skills Programme: Blasting Assistant in Surface Mining V3,,19,2007-06-11 00:00:00.000,2025-06-30 23:59:59.000,,1,,,,2,Y
*,MQA/SP/0043/05,Skills Programme: Blasting Assistant Operations in Underground Coal Mines V3,,31,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,1,,,2021-711101,0,Y
*,MQA/SP/0057/07,Skills Programme: Generic Engineering,,62,2007-06-13 00:00:00.000,2010-09-13 00:00:00.000,,1,,,,0,Y
*,MQA/SP/0058/07,Skills Programme: Monitor and Operate Plant and Equipment,,41,2007-07-30 00:00:00.000,2010-07-30 00:00:00.000,,1,,,,15,Y
*,MQA/SP/0059/07,Skills Programme: Basic Generic Supervision,,28,2007-07-30 00:00:00.000,2010-02-28 00:00:00.000,,1,,,,0,Y
*,MQA/SP/0060/07,"Skills Programme: Occupational Health and Safety, Environment and Quality (Basic)",,20,2007-07-30 00:00:00.000,2015-06-30 00:00:00.000,,1,,,,6,Y
*,MQA/SP/0064/07,Skills Programme: Blasting Assistant within Underground Hard Rock V4,,23,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,1,,,2021-711101,3,Y
*,MQA/SP/0063/07,Skills Programme: Competent person A: The examination and Declaring safe of a Workplace in Underground Hard Rock Operations (V4),,28,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,1,,,2021-711101,3,Y
*,MQA/SP/0061/07,Skills Programme: Competent person B: The Installation and Maintenance of any Support Unit and the removal of a Temporary Support Unit in Underground Hard Rock Operations (V4),,16,2015-07-01 00:00:00.000,2024-07-30 23:59:59.000,,1,,,2021-711101,0,Y
*,MQA/SP/0062/07,Skills Programme: Secondary Blasting Operations for Underground Hard Rock (V3),,36,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,1,,,2021-711101,2,Y
