ID,SubMajorGroupID,Code,Description,DateCreated,CreatedBy,DateUpdated,UpdatedBy,IsDeleted,SysStartTime,SysEndTime
55,5,2021-2165,Cartographers and Surveyors,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
56,5,2021-2166,Graphic and Multimedia Designers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
57,6,2021-2211,Generalist Medical Practitioners,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
58,6,2021-2212,Specialist Medical Practitioners,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
59,6,2021-2221,Nursing Professionals,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
60,6,2021-2222,Midwifery Professionals,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
61,6,2021-2231,Traditional and Complementary Medicine Professionals,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
62,6,2021-2241,Paramedical Practitioners,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
63,6,2021-2251,Veterinarians,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
64,6,2021-2261,Dentists,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
65,6,2021-2262,Pharmacists,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
66,6,2021-2263,Environmental and Occupational Health and Hygiene Professionals,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
67,6,2021-2264,Physiotherapists,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
68,6,2021-2265,Dieticians and Nutritionists,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
69,6,2021-2266,Audiologists and Speech Therapists,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
