ID,UnitGroupID,Code,Description,DateCreated,CreatedBy,DateUpdated,UpdatedBy,IsDeleted,SysStartTime,SysEndTime
63,18,2021-132404,Warehouse Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
64,18,2021-132405,Fleet Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
65,18,2021-132406,Railway Station Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
66,18,2021-132407,Airport or Harbour Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
67,18,2021-132408,Grain Depot Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
68,18,2021-132409,Fuel Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
69,18,2021-132410,Maritime Search and Rescue Mission Coordinator,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
70,19,2021-133101,Chief Information Officer,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
71,19,2021-133102,ICT Project Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
72,19,2021-133103,Data Management Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
73,19,2021-133104,Application Development Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
74,19,2021-133105,Information Technology Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
75,19,2021-133106,Information Systems Director,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
76,20,2021-134101,Child Care Centre Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
77,21,2021-134201,Medical Superintendent,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
78,21,2021-134202,Nursing Clinical Director,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
79,21,2021-134203,Primary Health Care Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
80,21,2021-134204,Secondary Health Services Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
81,21,2021-134205,Health Service Specialised Clinic Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
82,21,2021-134206,Sport Science Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
83,21,2021-134207,Community Health Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
84,22,2021-134301,Special Care Accommodation Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
85,23,2021-134401,Social Services Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
86,23,2021-134402,Community Development Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
87,23,2021-134403,Child and Youth Care Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
88,24,2021-134501,School Principal,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
89,24,2021-134502,College Principal,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
90,24,2021-134503,Faculty Head,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
91,24,2021-134504,District Education Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
92,24,2021-134505,Educational Rector,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
93,24,2021-134506,Educational Registrar,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
94,24,2021-134507,Departmental Head,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
95,25,2021-134601,Bank Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
96,25,2021-134602,Credit Bureau Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
97,25,2021-134603,Financial Markets Business Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
98,26,2021-134701,Military Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
99,26,2021-134702,Military Commander,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
