ID,Description,Code,ProvinceID,DateCreated,CreatedBy,DateUpdated,UpdatedBy,IsDeleted
87,Abraham Serote Secondary,924650160,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
88,Abraham Vanqa Junior Secondary School,200600006,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
89,Abrahamskraal,442506090,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
90,Abram Hlophe Primary School,700340380,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
91,Abram Sibasa Primary,922220019,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
92,Abundant Life Christian Academy,700400412,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
93,Abundant Life Christian School,200601177,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
94,Abundant Living,106003374,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
95,Acacia Prim.,140330329,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
96,Acacia Primary School,500284493,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
97,Acaciavale Primary School,500100344,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
98,Academia Prim.,109321567,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
99,Academic Quality Education Secondary School,700400129,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
100,Academy,445202984,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
101,Academy Business School,700400334,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
102,Academy Charity Trust-Jhb,700400385,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
103,Academy Charity Trust-Pta,700400390,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
104,Academy For Christ,600100010,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
105,Academy For Sports Excellence,991102500,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
106,Academy Of Excellence Ci/S,440304273,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
107,Accelerated,440304801,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
108,Accelerated Christian College Ii/S,440304161,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
109,Accelerated Christian College Si/S,440304267,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
110,Accord Busine Senior Secondary Academy,200200091,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
111,Accordionstraat Prim.,101321761,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
112,Acek Academy Secondary School,800030452,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
113,Achievers,105007592,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
114,Achtertuin Ame Prim.,126337994,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
115,Ackermanskraal Farm School,200600007,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
116,Acme,800000018,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
117,Acme,800028662,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
118,Acorn,700150045,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
119,Acorn - Oaks Comprehensive High School,800035522,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
120,Acornhoek Academy,800034962,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
121,Acton Homes Primary School,500100381,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
122,Actonville Primary School,700310045,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
123,Actonville Training Centre,700311704,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
124,Acvv,300071018,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
125,Acvv Delft,107007593,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
126,Acvv Delft,207007593,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
